0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,label
-347.3334,145.50429,-5.1685514,37.09565,-11.503371,10.514113,-14.463099,-13.2025,-6.56516,-9.241318,2.426905,-3.5241888,6.785669,-5.4734545,0.8250827,-2.3148,-5.1832557,0.5847149,-5.5086956,-1.357066,-5.6013265,-0.3565069,-3.065099,-2.4677157,-0.79904836,-2.8597934,-0.095777504,-5.0592647,-1.1308585,-3.5179167,-3.2931368,-1.635054,-2.4787905,-1.4815422,-2.9850457,-0.26904196,-1.8522891,-1.003277,-2.365574,-2.1723506,-0.7401994,-2.614282,-1.3617687,-2.2689521,-1.9726083,-2.576589,-1.4841678,-1.5480552,-2.226737,-0.78686225,1
-389.20663,138.40308,-0.26069465,41.167973,-15.9199295,-1.1307231,-11.863015,-18.189583,-2.101993,-5.9034142,-1.5576141,-3.377006,0.107706495,-6.9695597,-1.3975412,-4.780238,-8.5574665,-0.6517052,-2.9467263,-5.055121,-4.734151,2.652146,-4.0711303,-2.1184099,0.99237317,-3.1243904,1.1544297,-5.278257,-2.6006026,-1.3643818,-4.15605,-2.7983909,-4.6562924,-3.1652744,-2.2986333,-1.9391172,-3.9295647,-1.6699287,-0.9321842,-2.641591,-2.0120418,-2.225834,-0.48571754,-2.8490822,-1.9211849,-1.0936042,-2.918965,-1.066653,-1.338706,-0.68136746,1
-370.36432,171.49876,16.114351,21.260109,6.178779,-6.904849,-9.867763,-16.022398,-6.7460318,-3.9112558,-3.185962,-3.9536386,-4.758797,-3.6205986,-3.3825636,-0.29913974,-1.1103464,-5.912256,-4.8806458,-2.8516943,-5.2579055,-3.6715727,-1.7754668,-3.066926,-3.809645,-4.7153163,-3.4492574,-2.3899984,-3.4065726,-4.025655,-2.1132932,-0.69503605,-2.7361736,-3.3155303,-2.2973015,-1.5115784,-1.5493023,-2.0611281,-1.8995295,-2.2962964,-2.196313,-1.8209893,-2.0503874,-2.58433,-2.8602476,-2.638931,-2.5843678,-2.5173965,-2.6517227,-2.1333637,1
-372.87323,172.88647,9.979319,5.5426574,8.46153,-2.2915401,-15.250764,-7.764458,-12.814054,-2.534521,10.440518,-1.2919061,1.9100487,-2.238702,0.68789303,1.0956051,-4.670247,-3.8232384,-7.803372,-5.0345016,-5.4777594,-4.116325,-3.8491814,-5.9951816,-5.1268215,-3.3003893,-0.1590853,-4.2409635,-2.4448264,-1.2805945,-4.7830048,-4.09485,-5.804865,-7.603362,-6.506048,-2.456712,-1.6018039,-1.5941341,-2.1304986,-3.8295999,-3.0452461,-4.1433606,-2.4844754,0.2208547,-0.92374086,-3.6062222,-4.3581896,-3.2775285,-2.4958508,-2.2503986,1
-488.54852,153.70105,-29.379854,44.497665,-16.556768,14.0385475,-11.946311,0.017186493,-3.390421,-4.6502843,8.092135,-10.439224,5.9659824,-7.8334546,2.023071,-1.5958904,-1.9089139,1.380158,-5.765244,-0.5208866,-9.352834,-0.92263585,-3.439002,-2.173949,-4.114737,-4.7213125,-1.4319069,-5.3055,0.53614664,-4.339669,-1.9795268,-2.8047497,-1.2274923,-0.6261191,-4.053817,-1.4385906,-3.139624,-0.6301953,-3.042951,-1.7962519,-2.028319,-1.9550854,-0.19652328,-1.814768,-0.24605905,-0.19786884,0.74355364,-1.8828514,-0.45273396,0.2683046,1
-472.49152,126.35676,-11.5916395,47.835346,-14.8199625,20.131153,-7.750631,-1.1756563,1.4381638,-3.5652363,10.626549,-6.60081,4.3630047,-6.3995996,0.75555086,-1.866774,-6.7288218,-3.4625278,-3.6661606,1.8649372,-5.277887,0.36901388,-3.4753137,-0.8656392,-3.3742673,-3.5491095,-1.272448,-6.7135353,0.2960201,-4.314397,-0.80786586,-2.5721035,-2.9228508,1.1696527,-2.5383804,-0.49158192,-1.2623198,1.4650584,-0.8895324,1.1721053,2.407285,0.26015916,1.7566788,1.1580849,2.8535273,0.7598344,1.6054341,1.0561068,0.15561971,-0.37939048,1
-471.93088,142.53833,-10.2133465,36.13815,-7.023873,11.835875,-13.408419,-1.3182044,-0.62360954,-10.266653,1.976154,-7.198005,4.157241,-4.5623817,2.936019,-1.594569,-4.227036,-1.2968935,-9.567468,-2.4871008,-6.2056866,-2.15757,-5.022496,-2.7872143,-1.4828309,-4.4282217,-0.209324,-3.449403,0.41014835,-2.1237283,-1.6366651,-1.3151436,-0.77978355,1.5160309,-0.7420731,1.2198272,0.6980577,4.519555,4.585283,4.8689337,4.520044,1.7558619,1.4608737,-0.94180053,0.06950873,-1.0230424,-0.009939943,-0.41489494,-1.3534065,-0.528818,1
-467.1039,138.86453,-46.77642,61.977318,-25.501177,26.995422,-15.437643,2.5541933,-4.0373626,-4.3283706,6.308884,-13.466045,7.147685,-10.8141,5.731542,-7.9573064,-3.8162818,-2.6572387,-5.5020404,0.6857118,-9.023688,1.8477367,-7.8597097,-0.8588882,-4.728,-3.3118834,-3.2670076,-5.577974,1.1310238,-4.016264,1.3043102,-2.4497225,0.94843906,-1.7020508,-0.9972813,-1.838578,-4.4645815,-0.55867743,-3.9081333,-0.96715254,-2.8810756,-0.40785536,-1.3056641,0.13734582,1.2223825,0.45869625,1.294692,-0.7639121,1.3724691,-1.4241548,1
-490.36496,131.80034,-18.170113,58.81298,-20.597363,18.945724,-10.166797,1.7165705,-0.6730244,-9.713867,-1.8030127,-12.034945,3.7761943,-17.09081,1.2000126,-1.7836086,-2.6092706,3.4574976,-2.3111732,1.4380574,-4.887061,6.112928,-2.402678,-0.37578312,-2.9089563,-4.1295986,0.20022498,-4.874764,1.3536882,-2.8960629,-0.6215181,-2.4473417,0.040456347,2.1110609,0.044762556,-0.6017437,-2.0724878,1.931143,-3.1494055,0.7289974,-1.1674538,-3.747081,0.71423966,-2.1458914,-2.3729675,-0.31728837,-0.62187266,-3.0030906,0.935444,-0.26921308,1
-397.18365,146.71893,4.867219,21.074488,5.2664676,8.976326,-1.1147962,-3.5126748,-1.9333823,-4.913161,-3.9917984,-8.756822,-4.802922,-4.0672107,3.6856298,1.6971332,-4.66684,-4.2979994,-2.2418108,-0.7748205,-6.578116,-3.8474684,-2.5598328,-5.548816,-5.9059772,-3.0471416,-2.1627264,-5.4038467,-1.9994475,-1.333684,-3.2544298,-2.3033686,-2.8707712,-3.5794916,-3.0230465,-2.158906,-1.7840141,-1.1830857,-0.95364726,-1.3138918,-1.7951189,-2.068895,-1.8032564,-0.9175627,-0.25914463,-0.36052334,-0.88123083,-0.9326726,-1.2521497,-1.299839,1
